source_category,English_category,n
治疗过程异常,New lesions during therapy,1
临床一致性异常,Clinical record inconsistency,4
治疗方案改变,Change in systemic treatment regimen,1
持续PVTT,Persistent portal-vein tumour thrombus,3
持续PVTT/一致性异常,Persistent portal-vein tumour thrombus with record inconsistency,1
无完整切除标本,No complete resection specimen,2
极端肿瘤负荷,Extreme tumour burden,3
分期一致性异常,Staging inconsistency,3
非标准复杂手术,Non-standard complex surgery,1
无可靠治疗前基线,No reliable pretreatment baseline,1
病理资料不足,Insufficient pathology documentation,1
长期转化/手术离群,Prolonged conversion therapy with operative outlier features,1
非纯HCC,Non-pure HCC histology,1
严重围手术期事件,Severe postoperative event,1
极端手术病例,Extreme operative presentation,1
长期治疗+持续PVTT,Prolonged treatment with persistent portal-vein tumour thrombus,1
病灶—病理不一致,Lesion–pathology correspondence uncertainty,1
